Année,Secteur,N° de référence du GPC,Portée,Catégorie,Sous-catégorie,Activité,Description,CO2,CH4,N2O,Total en t éq.CO2,CO2(b),Qualité données
2020,Transport,II.5.1,1,Émissions provenant de la combustion de carburant pour les transports hors route dans la ville,Multiple,,Essence (automobile),18840,1037,156,20032,0,M
2020,Transport,II.5.1,1,Émissions provenant de la combustion de carburant pour les transports hors route dans la ville,Multiple,,Gazole,6480,4,16,6501,0,M
2020,Transport,II.5.1,1,Émissions provenant de la combustion de carburant pour les transports hors route dans la ville,Multiple,,Éthanol,0,5,121,126,927,M
2020,Transport,II.5.1,1,Émissions provenant de la combustion de carburant pour les transports hors route dans la ville,Multiple,,Biocarburants,0,0,5,5,185,M
2021,Transport,II.1.1,1,Émissions provenant de la combustion de carburant pour les transports routiers dans la ville,Multiple,Géographique / Territorial,,,,,2850000,,H
2021,Transport,II.2.3,3,"Émissions provenant des déplacements transfrontaliers se produisant à l'extérieur de la ville, et pertes de T&D (transport et distribution) de la consommation d'énergie fournie par le réseau",Multiple,Géographique / Territorial,,105635,149,12298,118082,0,L
2021,Transport,II.3.3,3,"Émissions provenant des déplacements transfrontaliers se produisant à l'extérieur de la ville, et pertes de T&D (transport et distribution) de la consommation d'énergie fournie par le réseau",Départs transfrontaliers,Géographique / Territorial,,415373,986,3359,419719,0,L
2021,Transport,II.4.3,3,"Émissions provenant des déplacements transfrontaliers se produisant à l'extérieur de la ville, et pertes de T&D (transport et distribution) de la consommation d'énergie fournie par le réseau",Tous les vols au départ,Géographique / Territorial,,575760,474,5086,581319,0,L
2021,Transport,II.5.1,1,Émissions provenant de la combustion de carburant pour les transports hors route dans la ville,Multiple,,Essence (automobile),20370,1121,168,21660,0,M
2021,Transport,II.5.1,1,Émissions provenant de la combustion de carburant pour les transports hors route dans la ville,Multiple,,Gazole,7963,5,19,7988,0,M
2021,Transport,II.5.1,1,Émissions provenant de la combustion de carburant pour les transports hors route dans la ville,Multiple,,Éthanol,0,5,131,136,1002,M
2021,Transport,II.5.1,1,Émissions provenant de la combustion de carburant pour les transports hors route dans la ville,Multiple,,Biocarburants,0,2,6,8,227,M
